Digi-Key Part Number,Manufacturer Name,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,
609-2845-ND,FCI,75869-131LF,?,1,?,?,
754-1128-1-ND,Kingbright,APT2012EC,?,1,?,?,
754-1131-1-ND,Kingbright,APT2012SGC,?,1,?,?,
ATMEGA8A-PU-ND,ATMEL,ATMEGA8A-PU,?,1,?,?,
ATTINY13V-10SSU-ND,Atmel,ATTINY13V-10SSU,?,1,?,?,
445-1272-1-ND,TDK,C1608C0G1H180J,?,2,?,?,
311-1343-1-ND,Yaego,CC0603ZRY5V9BB104,?,4,?,?,
P1.0KGCT-ND,Panasonic,ERJ-3GEYJ102V,?,5,?,?,
P10KGCT-ND,Panasonic,ERJ-3GEYJ103V,?,4,?,?,
MMBT3904-FDICT-ND,Diodes Inc,MMBT3904-7-F,?,1,?,?,
644-1037-1-ND,NDK,NX5032GA-16.000000MHZ-LN-CD-1,?,1,?,?,
